Date,MedianSoldPrice_AllHomes.California,MedianMortageRate,UnemploymentRate
2/29/08,470000,5.29,6.3
3/31/08,441000,5.44,6.2
4/30/08,460000,5.42,6.4
5/31/08,429000,5.47,6.3
6/30/08,437500,5.6,6.2
7/31/08,423000,5.91,5.6
8/31/08,408000,5.97,6.3
9/30/08,400000,6.03,6.5
10/31/08,390000,5.64,5.7
11/30/08,366000,5.89,5.6
12/31/08,365000,5.79,6.2
1/31/09,352000,5.04,6.3
2/28/09,355000,4.72,7.8
3/31/09,355000,4.77,8.3
4/30/09,358000,4.64,8.8
5/31/09,365000,4.5,8.5
6/30/09,375000,4.52,8.7
7/31/09,370000,4.9,8.1
8/31/09,370000,4.69,8.9
9/30/09,368750,4.61,9.1
10/31/09,360000,4.49,7.6
11/30/09,358000,4.39,7.6
12/31/09,370000,4.34,7.9
1/31/10,349000,4.39,7.8
2/28/10,355000,4.44,8.7
3/31/10,375000,4.37,8.5
4/30/10,360000,4.33,8.8
5/31/10,370000,4.42,8.4
6/30/10,375000,4.28,8.4
7/31/10,373000,4.18,7.4
8/31/10,378000,4.04,8.3
9/30/10,372750,3.91,8.7
10/31/10,365000,3.81,7.4
11/30/10,365000,3.66,7.2
12/31/10,370000,3.68,7.2
1/31/11,335000,4.06,7
2/28/11,345000,4.08,8.1
3/31/11,370000,4.21,8
4/30/11,355000,4.45,8.2
5/31/11,360000,4.6,7.9
6/30/11,368000,4.41,7.5
7/31/11,360000,4.55,7
8/31/11,355000,4.33,7.6
9/30/11,350000,4.06,7.9
10/31/11,350000,3.99,6.6
11/30/11,339500,4,6.7
12/31/11,349000,3.95,7
1/31/12,335000,3.81,6.9
2/29/12,335000,3.76,8
3/31/12,350000,3.78,7.7
4/30/12,352000,3.93,7.7
5/31/12,360250,3.78,7.5
6/30/12,366000,3.63,7.4
7/31/12,358500,3.63,6.7
8/31/12,364000,3.54,7.5
9/30/12,362000,3.55,7.8
10/31/12,363500,3.29,6.7
11/30/12,372250,3.41,6.7
12/31/12,385000,3.37,6.7
1/31/13,365000,3.32,6.7
2/28/13,375000,3.59,7.5
3/31/13,395000,3.52,7.4
4/30/13,416000,3.55,7.8
5/31/13,430000,3.33,7.4
6/30/13,430000,3.88,7.2
7/31/13,435000,4.29,6.7
8/31/13,425000,4.37,7.4
9/30/13,435000,4.47,7.6
10/31/13,425000,4.14,6.4
11/30/13,429000,4.04,6.4
12/31/13,432750,4.3,6.5
1/31/14,423500,4.47,6.7
2/28/14,422000,4.21,7.4
3/31/14,440000,4.22,7.4
4/30/14,450000,4.3,7.4
5/31/14,450000,4.21,7.3
6/30/14,460000,4.05,7.2
7/31/14,458000,4.07,6.7
8/31/14,460000,4.13,7.3
9/30/14,459750,4.06,7.5
10/31/14,450500,4.19,6.3
11/30/14,440000,4.03,6
12/31/14,450000,3.9,6.2
1/31/15,450000,3.85,6.2
2/28/15,450000,3.89,5.7
3/31/15,465000,3.91,5.5
4/30/15,467000,3.79,5.4
5/31/15,475000,3.73,5.4
6/30/15,489000,3.85,5.6
7/31/15,482750,3.87,5.3
8/31/15,475000,3.95,5.2
9/30/15,470000,3.87,5.1
10/31/15,470000,3.8,5
11/30/15,485750,3.69,5
12/31/15,485000,3.89,5.1
1/31/16,,3.91,5
2/29/16,,3.96,4.9
3/31/16,,3.6,5
4/30/16,,3.6,5
5/31/16,,3.59,4.8
6/30/16,,3.59,4.8
7/31/16,,3.46,4.9
8/31/16,,3.46,4.8
9/30/16,,3.42,5
10/31/16,,3.36,5
11/30/16,,3.47,4.8
12/31/16,,4.07,4.7
